 date     c               a               y              cay=cc-0.621y -0.269a (demeaned)  @
 195104   8.94584341212   10.56260837213  8.65834543560	  0.00534
 195201   8.94409223278   10.57123571410  8.66592583985	 -0.00344
 195202   8.95749888435   10.58301044874  8.66734993704	  0.00591
 195203   8.96656349266   10.57800623197  8.68157790429	  0.00749
 195204   8.97540805025   10.57487283703  8.71094564943	 -0.00105
 195301   8.98510950709   10.57435704003  8.72197074693	  0.00195
 195302   8.98792290741   10.56810870189  8.73427509066	 -0.00119
 195303   8.98366963354   10.56875730216  8.72722022943	 -0.00124
 195304   8.97764035590   10.57209931137  8.71372771022	  0.00020
 195401   8.98206369577   10.57983866820  8.70464284258	  0.00818
 195402   8.98585059700   10.59423952198  8.70303434050	  0.00909
 195403   8.99772381726   10.61985506611  8.70626894738	  0.01206
 195404   9.00574302151   10.62849544122  8.72539526838	  0.00588
 195501   9.01239351823   10.63552477478  8.73371553851	  0.00547
 195502   9.01870882997   10.65569272432  8.75470266834	 -0.00667
 195503   9.02455282824   10.67358463847  8.77204815927	 -0.01641
 195504   9.03940365458   10.67977798032  8.78132016763	 -0.00898
 195601   9.04653602686   10.70245425273  8.78889244107	 -0.01265
 195602   9.04635219986   10.69468053240  8.79666838160	 -0.01557
 195603   9.04716580882   10.69003231572  8.79564073704	 -0.01287
 195604   9.05379497513   10.70064198039  8.80677151820	 -0.01600
 195701   9.05603713643   10.69211148300  8.80596851079	 -0.01097
 195702   9.05898761747   10.70212755304  8.80718925798	 -0.01147
 195703   9.06437749723   10.68311516005  8.80585570274	 -0.00013
 195704   9.06583756741   10.67726876022  8.79769472880	  0.00797
 195801   9.05733017558   10.68207005799  8.77479736977	  0.01238
 195802   9.06411920787   10.69130845965  8.77660972070	  0.01555
 195803   9.07388217782   10.71767203810  8.79942569359	  0.00406
 195804   9.07673127148   10.73155176898  8.81009906758	 -0.00346
 195901   9.08627925464   10.73289129610  8.81693053757	  0.00149
 195902   9.09349763508   10.74045752038  8.83253174096	 -0.00301
 195903   9.10001579584   10.73661869732  8.82532739582	  0.00901
 195904   9.10512452280   10.74465826888  8.82736854250	  0.01069
 196001   9.10289065146   10.73770159576  8.83353103088	  0.00650
 196002   9.11077528585   10.74171895671  8.83590743183	  0.01183
 196003   9.10432330813   10.72440281743  8.83212338636	  0.01239
 196004   9.10601898464   10.74321176224  8.82491317590	  0.01350
 196101   9.10964606156   10.76763256304  8.82836802154	  0.00840
 196102   9.12017434888   10.77472348881  8.84062508267	  0.00942
 196103   9.11774229173   10.78186119732  8.84935517911	 -0.00036
 196104   9.12841398439   10.80256161622  8.86309184909	 -0.00378
 196201   9.13407744563   10.80225905027  8.87095743340	 -0.00292
 196202   9.14019408421   10.74617732557  8.87886492832	  0.01339
 196203   9.14506082308   10.75640171298  8.87972009608	  0.01497
 196204   9.15033333728   10.80108279223  8.88354982803	  0.00584
 196301   9.15258300390   10.81601892319  8.88931594342	  0.00048
 196302   9.15682876701   10.82733466862  8.89602022117	 -0.00248
 196303   9.16665487560   10.83534717862  8.90310945226	  0.00079
 196304   9.17122145311   10.82366164039  8.91487322585	  0.00120
 196401   9.18249804222   10.83637570226  8.93206740868	 -0.00162
 196402   9.19491491615   10.85272913863  8.95576178786	 -0.00831
 196403   9.20725569634   10.86153939021  8.96524144768	 -0.00422
 196404   9.21208896827   10.87159922839  8.97335406803	 -0.00713
 196501   9.22061559688   10.88237386629  8.98142675042	 -0.00652
 196502   9.23207186273   10.87366091127  8.98779195162	  0.00333
 196503   9.24211827146   10.89606329582  9.01414715730	 -0.00901
 196504   9.26329411999   10.91939718367  9.03209024644	 -0.00525
 196601   9.26901403543   10.90941831627  9.03437843578	  0.00173
 196602   9.27723977852   10.91105040063  9.04265844294	  0.00438
 196603   9.28155595750   10.88331476065  9.05602773999	  0.00787
 196604   9.28460961692   10.90550183079  9.06814829938	 -0.00258
 196701   9.29324397366   10.94020342615  9.07978076424	 -0.01051
 196702   9.29929941959   10.94643575716  9.08612833079	 -0.01007
 196703   9.30434545853   10.96253454663  9.09303689391	 -0.01364
 196704   9.30954086885   10.97658479954  9.10346616815	 -0.01871
 196801   9.32281209923   10.96434795504  9.12064477055	 -0.01280
 196802   9.33593824889   10.99946207289  9.13731668983	 -0.01948
 196803   9.34736487239   11.00361158350  9.13936434281	 -0.01044
 196804   9.35237816749   11.04047925131  9.14598717099	 -0.01946
 196901   9.35990215529   11.03346978464  9.14560123496	 -0.00981
 196902   9.36595145722   11.01693084928  9.15368285536	 -0.00433
 196903   9.36906384817   11.00628520731  9.17301644166	 -0.01035
 196904   9.37738660105   10.99667858023  9.17901275304	 -0.00316
 197001   9.38708503886   10.98990431775  9.18347409289	  0.00560
 197002   9.38854826862   10.95170228520  9.20358887126	  0.00486
 197003   9.39585046659   10.97533883227  9.20849877093	  0.00275
 197004   9.39904255679   10.98604107292  9.20103542490	  0.00769
 197101   9.40175029228   11.01849474973  9.21820157383	 -0.00899
 197102   9.40404917200   11.02002906722  9.23233378385	 -0.01588
 197103   9.40549739008   11.02344042266  9.23311112966	 -0.01583
 197104   9.41436824588   11.03888403118  9.23994731744	 -0.01536
 197201   9.42380604075   11.06637849922  9.24773565008	 -0.01816
 197202   9.43801875609   11.07199553356  9.25554464313	 -0.01031
 197203   9.44719920277   11.08238781890  9.26601970963	 -0.01043
 197204   9.46207550402   11.12861520919  9.29790153921	 -0.02779
 197301   9.46853226354   11.11949973983  9.31014929375	 -0.02648
 197302   9.46850965448   11.10377864345  9.31467878760	 -0.02508
